cmd_vel_x,cmd_vel_y,cmd_vel_z,cmd_ang_x,cmd_ang_y,cmd_ang_z,orient_x,orient_y,orient_z,orient_w,imu_ang_x,imu_ang_y,imu_ang_z,imu_accel_x,imu_accel_y,imu_accel_z,quaternion_norm,roll,pitch,yaw,imu_ang_magnitude,imu_accel_magnitude,delta_roll,delta_pitch,delta_yaw
0.1,0,0,0,0,0.3,-0.000144674,0.002778654,0.185929531,0.982559142,0.002005753,0.003832451,0.299985836,-0.035661999,0.015343055,10.02425613,1,0.250243497,0.039818926,-0.39101539,1.01667705,0.462440042,0.000826033,0.000870892,0.085890176
0.1,0,0,0,0,0.3,-0.000141191,0.002787886,0.186666001,0.982419468,0.001807158,0.004094828,0.299887989,-0.062563801,0.045532856,9.931518268,1,0.265050537,0.054685061,-0.388609658,1.016153149,0.265243019,0.000826478,0.000932485,0.085900532
0.1,0,0,0,0,0.3,-0.000137783,0.002797448,0.187402395,0.982279236,0.00183295,0.004045323,0.299926276,-0.04464501,0.074279209,9.077624182,1,0.27985701,0.070153766,-0.386203832,1.01636005,-1.554671702,0.000826446,0.000970282,0.085903873
0.1,0,0,0,0,0.3,-0.000134355,0.002806737,0.188138549,0.982138478,0.001965043,0.004598088,0.299798851,-0.083289216,0.020298199,10.25801934,1,0.294625655,0.085108734,-0.383798442,1.015710286,0.961331175,0.000824335,0.000938058,0.085888284
0.1,0,0,0,0,0.3,-0.000131039,0.002816562,0.188874718,0.981997144,0.002040149,0.004782697,0.300013557,-0.063006478,0.045153905,10.02457023,1,0.309401089,0.101046328,-0.381392656,1.016904902,0.463588146,0.000824714,0.000999693,0.085902474
0.1,0,0,0,0,0.3,-0.000127768,0.002826519,0.189610783,0.981855257,0.002202083,0.004295022,0.299864969,-0.019592845,0.089476669,8.931412103,1,0.324166072,0.117219643,-0.378986863,1.016056857,-1.866216864,0.00082413,0.001014479,0.085902666
0.1,0,0,0,0,0.3,-0.000124453,0.002836061,0.190346605,0.981712846,0.001584429,0.004253733,0.299756046,-0.039947603,-0.009151046,10.40506615,1,0.338883031,0.132616575,-0.376581517,1.015435627,1.274183494,0.00082145,0.00096578,0.085886747
0.1,0,0,0,0,0.3,-0.000121255,0.002846148,0.191082481,0.98156985,0.002056567,0.004517745,0.300045599,-0.042918836,0.052185521,10.05095124,1,0.353606204,0.149015724,-0.374175645,1.017058533,0.519666969,0.000821797,0.001028644,0.085905513
0.1,0,0,0,0,0.3,-0.000118104,0.002856375,0.191818284,0.981426295,0.002001035,0.004173149,0.299981006,-0.020959729,0.095789017,8.923290889,1,0.368317671,0.165664048,-0.371769658,1.016675322,-1.883380778,0.000821143,0.001044274,0.085909622
0.1,0,0,0,0,0.3,-0.00011491,0.002866188,0.192553867,0.981282212,0.002340376,0.004385373,0.300048011,-0.050999567,-0.007086622,10.36064181,1,0.382979259,0.181539894,-0.369364037,1.017072379,1.179589611,0.000818359,0.00099582,0.085896538
